point,date,dx,dy,h,h2,h3,h4,T,T20,T15,T10,T5,day,day1,day2
TP1,2006/1/1,0.485714,-0.314286,429.571,184532,7.93E+07,3.41E+10,3.06143,0.283333,4.4,5.794,-2.9875,0,0,1
TP1,2006/1/2,0.5,-0.2,429.55,184513,7.93E+07,3.40E+10,2.9,-0.54,3.57667,8.48,-4.95,1,0.693147,1.4427
TP1,2006/1/3,0.5,-0.35,428.938,183987,7.89E+07,3.39E+10,0.9375,0.132,2.75333,7.46,-2.264,2,1.09861,1.82048
TP1,2006/1/4,0.5,-0.5,428.325,183462,7.86E+07,3.37E+10,-1.025,0.804,1.93,6.44,0.422,3,1.38629,2.16404
TP1,2006/1/5,0.5,-0.65,427.712,182938,7.82E+07,3.35E+10,-2.9875,1.476,1.10667,5.42,3.108,4,1.60944,2.48534
TP1,2006/1/6,0.5,-0.8,427.1,182414,7.79E+07,3.33E+10,-4.95,2.148,0.283333,4.4,5.794,5,1.79176,2.79055
TP1,2006/1/7,0.5,-0.82,427.204,182503,7.80E+07,3.33E+10,-2.264,2.82,-0.54,3.57667,8.48,6,1.94591,3.08339
TP1,2006/1/8,0.5,-0.84,427.308,182592,7.80E+07,3.33E+10,0.422,2.87,0.132,2.75333,7.46,7,2.07944,3.36629
TP1,2006/1/9,0.5,-0.86,427.412,182681,7.81E+07,3.34E+10,3.108,2.92,0.804,1.93,6.44,8,2.19722,3.64096
TP1,2006/1/10,0.5,-0.88,427.516,182770,7.81E+07,3.34E+10,5.794,2.97,1.476,1.10667,5.42,9,2.30259,3.90865
TP1,2006/1/11,0.5,-0.9,427.62,182859,7.82E+07,3.34E+10,8.48,3.02,2.148,0.283333,4.4,10,2.3979,4.17032
TP1,2006/1/12,0.55,-0.725,427.52,182773,7.81E+07,3.34E+10,7.46,3.07,2.82,-0.54,3.57667,11,2.48491,4.42673
TP1,2006/1/13,0.6,-0.55,427.42,182688,7.81E+07,3.34E+10,6.44,3.12,2.87,0.132,2.75333,12,2.56495,4.67845
TP1,2006/1/14,0.65,-0.375,427.32,182602,7.80E+07,3.33E+10,5.42,2.954,2.92,0.804,1.93,13,2.63906,4.926
TP1,2006/1/15,0.7,-0.2,427.22,182517,7.80E+07,3.33E+10,4.4,2.788,2.97,1.476,1.10667,14,2.70805,5.16977
TP1,2006/1/16,0.666667,-0.233333,428.338,183474,7.86E+07,3.37E+10,3.57667,2.622,3.02,2.148,0.283333,15,2.77259,5.41011
TP1,2006/1/17,0.633333,-0.266667,429.457,184433,7.92E+07,3.40E+10,2.75333,2.456,3.07,2.82,-0.54,16,2.83321,5.6473
TP1,2006/1/18,0.6,-0.3,430.575,185395,7.98E+07,3.44E+10,1.93,2.29,3.12,2.87,0.132,17,2.89037,5.8816
TP1,2006/1/19,0.566667,-0.333333,431.693,186359,8.05E+07,3.47E+10,1.10667,2.0125,2.954,2.92,0.804,18,2.94444,6.11322
TP1,2006/1/20,0.533333,-0.366667,432.812,187326,8.11E+07,3.51E+10,0.283333,1.735,2.788,2.97,1.476,19,2.99573,6.34236
TP1,2006/1/21,0.5,-0.4,433.93,188295,8.17E+07,3.55E+10,-0.54,1.4575,2.622,3.02,2.148,20,3.04452,6.56917
TP1,2006/1/22,0.42,-0.38,434.284,188603,8.19E+07,3.56E+10,0.132,1.18,2.456,3.07,2.82,21,3.09104,6.79382
TP1,2006/1/23,0.34,-0.36,434.638,188910,8.21E+07,3.57E+10,0.804,0.77,2.29,3.12,2.87,22,3.13549,7.01644
TP1,2006/1/24,0.26,-0.34,434.992,189218,8.23E+07,3.58E+10,1.476,0.36,2.0125,2.954,2.92,23,3.17805,7.23713
TP1,2006/1/25,0.18,-0.32,435.346,189526,8.25E+07,3.59E+10,2.148,-0.05,1.735,2.788,2.97,24,3.21888,7.45602
TP1,2006/1/26,0.1,-0.3,435.7,189834,8.27E+07,3.60E+10,2.82,-0.46,1.4575,2.622,3.02,25,3.2581,7.67319
TP1,2006/1/27,0.05,-0.516667,435.77,189895,8.28E+07,3.61E+10,2.87,-0.87,1.18,2.456,3.07,26,3.29584,7.88874
TP1,2006/1/28,-1.39E-17,-0.733333,435.84,189957,8.28E+07,3.61E+10,2.92,-1.28,0.77,2.29,3.12,27,3.3322,8.10274
TP1,2006/1/29,-0.05,-0.95,435.91,190018,8.28E+07,3.61E+10,2.97,-1.69,0.36,2.0125,2.954,28,3.3673,8.31528
TP1,2006/1/30,-0.1,-1.16667,435.98,190079,8.29E+07,3.61E+10,3.02,-0.03,-0.05,1.735,2.788,29,3.4012,8.52641
TP1,2006/1/31,-0.15,-1.38333,436.05,190140,8.29E+07,3.62E+10,3.07,1.63,-0.46,1.4575,2.622,30,3.43399,8.7362
TP1,2006/2/1,-0.2,-1.6,436.12,190201,8.30E+07,3.62E+10,3.12,3.29,-0.87,1.18,2.456,31,3.46574,8.94471
TP1,2006/2/2,0.06,-1.46,436.084,190169,8.29E+07,3.62E+10,2.954,2.63429,-1.28,0.77,2.29,32,3.49651,9.15199
TP1,2006/2/3,0.32,-1.32,436.048,190138,8.29E+07,3.62E+10,2.788,1.97857,-1.69,0.36,2.0125,33,3.52636,9.35809
TP1,2006/2/4,0.58,-1.18,436.012,190106,8.29E+07,3.61E+10,2.622,1.32286,-0.03,-0.05,1.735,34,3.55535,9.56306
TP1,2006/2/5,0.84,-1.04,435.976,190075,8.29E+07,3.61E+10,2.456,0.667143,1.63,-0.46,1.4575,35,3.58352,9.76694
TP1,2006/2/6,1.1,-0.9,435.94,190044,8.28E+07,3.61E+10,2.29,0.0114286,3.29,-0.87,1.18,36,3.61092,9.96976
TP1,2006/2/7,1,-1,435.7,189834,8.27E+07,3.60E+10,2.0125,-0.644286,2.63429,-1.28,0.77,37,3.63759,10.1716
TP1,2006/2/8,0.9,-1.1,435.46,189625,8.26E+07,3.60E+10,1.735,-1.3,1.97857,-1.69,0.36,38,3.66356,10.3724
TP1,2006/2/9,0.8,-1.2,435.22,189416,8.24E+07,3.59E+10,1.4575,0.3375,1.32286,-0.03,-0.05,39,3.68888,10.5723
TP1,2006/2/10,0.7,-1.3,434.98,189208,8.23E+07,3.58E+10,1.18,1.975,0.667143,1.63,-0.46,40,3.71357,10.7713
TP1,2006/2/11,0.671429,-1.08571,434.954,189185,8.23E+07,3.58E+10,0.77,3.6125,0.0114286,3.29,-0.87,41,3.73767,10.9694
TP1,2006/2/12,0.642857,-0.871429,434.929,189163,8.23E+07,3.58E+10,0.36,5.25,-0.644286,2.63429,-1.28,42,3.7612,11.1666
TP1,2006/2/13,0.614286,-0.657143,434.903,189140,8.23E+07,3.58E+10,-0.05,7.0375,-1.3,1.97857,-1.69,43,3.78419,11.3631
TP1,2006/2/14,0.585714,-0.442857,434.877,189118,8.22E+07,3.58E+10,-0.46,8.825,0.3375,1.32286,-0.03,44,3.80666,11.5587
TP1,2006/2/15,0.557143,-0.228571,434.851,189096,8.22E+07,3.58E+10,-0.87,10.6125,1.975,0.667143,1.63,45,3.82864,11.7535
TP1,2006/2/16,0.528571,-0.0142857,434.826,189073,8.22E+07,3.57E+10,-1.28,12.4,3.6125,0.0114286,3.29,46,3.85015,11.9476
TP1,2006/2/17,0.5,0.2,434.8,189051,8.22E+07,3.57E+10,-1.69,10.3117,5.25,-0.644286,2.63429,47,3.8712,12.1409
TP1,2006/2/18,0.5,0.0666667,435.063,189280,8.23E+07,3.58E+10,-0.03,8.22333,7.0375,-1.3,1.97857,48,3.89182,12.3336
TP1,2006/2/19,0.5,-0.0666667,435.327,189509,8.25E+07,3.59E+10,1.63,6.135,8.825,0.3375,1.32286,49,3.91202,12.5255
TP1,2006/2/20,0.5,-0.2,435.59,189739,8.26E+07,3.60E+10,3.29,4.04667,10.6125,1.975,0.667143,50,3.93183,12.7167
TP1,2006/2/21,0.4,-0.228571,435.91,190018,8.28E+07,3.61E+10,2.63429,1.95833,12.4,3.6125,0.0114286,51,3.95124,12.9073
TP1,2006/2/22,0.3,-0.257143,436.23,190297,8.30E+07,3.62E+10,1.97857,-0.13,10.3117,5.25,-0.644286,52,3.97029,13.0973
TP1,2006/2/23,0.2,-0.285714,436.55,190576,8.32E+07,3.63E+10,1.32286,3.135,8.22333,7.0375,-1.3,53,3.98898,13.2866
TP1,2006/2/24,0.1,-0.314286,436.87,190855,8.34E+07,3.64E+10,0.667143,6.4,6.135,8.825,0.3375,54,4.00733,13.4753
TP1,2006/2/25,5.55E-17,-0.342857,437.19,191135,8.36E+07,3.65E+10,0.0114286,9.665,4.04667,10.6125,1.975,55,4.02535,13.6634
TP1,2006/2/26,-0.1,-0.371429,437.51,191415,8.37E+07,3.66E+10,-0.644286,12.93,1.95833,12.4,3.6125,56,4.04305,13.8509
TP1,2006/2/27,-0.2,-0.4,437.83,191695,8.39E+07,3.67E+10,-1.3,12.44,-0.13,10.3117,5.25,57,4.06044,14.0379
TP1,2006/2/28,0.1,-0.375,437.632,191522,8.38E+07,3.67E+10,0.3375,11.95,3.135,8.22333,7.0375,58,4.07754,14.2243
TP1,2006/3/1,0.4,-0.35,437.435,191349,8.37E+07,3.66E+10,1.975,11.46,6.4,6.135,8.825,59,4.09434,14.4101
TP1,2006/3/2,0.7,-0.325,437.238,191177,8.36E+07,3.65E+10,3.6125,10.97,9.665,4.04667,10.6125,60,4.11087,14.5954
TP1,2006/3/3,1,-0.3,437.04,191004,8.35E+07,3.65E+10,5.25,10.48,12.93,1.95833,12.4,61,4.12713,14.7802
TP1,2006/3/4,0.9,-0.2,436.74,190742,8.33E+07,3.64E+10,7.0375,10.432,12.44,-0.13,10.3117,62,4.14313,14.9645
TP1,2006/3/5,0.8,-0.1,436.44,190480,8.31E+07,3.63E+10,8.825,10.384,11.95,3.135,8.22333,63,4.15888,15.1483
TP1,2006/3/6,0.7,5.55E-17,436.14,190218,8.30E+07,3.62E+10,10.6125,10.336,11.46,6.4,6.135,64,4.17439,15.3316
TP1,2006/3/7,0.6,0.1,435.84,189957,8.28E+07,3.61E+10,12.4,10.288,10.97,9.665,4.04667,65,4.18965,15.5144
TP1,2006/3/8,0.6,0.05,435.668,189807,8.27E+07,3.60E+10,10.3117,10.24,10.48,12.93,1.95833,66,4.20469,15.6967
TP1,2006/3/9,0.6,-1.39E-17,435.497,189657,8.26E+07,3.60E+10,8.22333,11.0775,10.432,12.44,-0.13,67,4.21951,15.8786
TP1,2006/3/10,0.6,-0.05,435.325,189508,8.25E+07,3.59E+10,6.135,11.915,10.384,11.95,3.135,68,4.23411,16.0601
TP1,2006/3/11,0.6,-0.1,435.153,189358,8.24E+07,3.59E+10,4.04667,12.7525,10.336,11.46,6.4,69,4.2485,16.241
TP1,2006/3/12,0.6,-0.15,434.982,189209,8.23E+07,3.58E+10,1.95833,13.59,10.288,10.97,9.665,70,4.26268,16.4216
TP1,2006/3/13,0.6,-0.2,434.81,189060,8.22E+07,3.57E+10,-0.13,13.0017,10.24,10.48,12.93,71,4.27667,16.6017
TP1,2006/3/14,0.425,-0.075,434.858,189101,8.22E+07,3.58E+10,3.135,12.4133,11.0775,10.432,12.44,72,4.29046,16.7814
TP1,2006/3/15,0.25,0.05,434.905,189142,8.23E+07,3.58E+10,6.4,11.825,11.915,10.384,11.95,73,4.30407,16.9607
TP1,2006/3/16,0.075,0.175,434.952,189184,8.23E+07,3.58E+10,9.665,11.2367,12.7525,10.336,11.46,74,4.31749,17.1396
TP1,2006/3/17,-0.1,0.3,435,189225,8.23E+07,3.58E+10,12.93,10.6483,13.59,10.288,10.97,75,4.33073,17.3181
TP1,2006/3/18,-0.04,0.28,435.174,189376,8.24E+07,3.59E+10,12.44,10.06,13.0017,10.24,10.48,76,4.34381,17.4962
TP1,2006/3/19,0.02,0.26,435.348,189528,8.25E+07,3.59E+10,11.95,11.672,12.4133,11.0775,10.432,77,4.35671,17.6739
TP1,2006/3/20,0.08,0.24,435.522,189679,8.26E+07,3.60E+10,11.46,13.284,11.825,11.915,10.384,78,4.36945,17.8512
TP1,2006/3/21,0.14,0.22,435.696,189831,8.27E+07,3.60E+10,10.97,14.896,11.2367,12.7525,10.336,79,4.38203,18.0282
TP1,2006/3/22,0.2,0.2,435.87,189983,8.28E+07,3.61E+10,10.48,16.508,10.6483,13.59,10.288,80,4.39445,18.2048
TP1,2006/3/23,0.28,0.06,435.678,189815,8.27E+07,3.60E+10,10.432,18.12,10.06,13.0017,10.24,81,4.40672,18.381
TP1,2006/3/24,0.36,-0.08,435.486,189648,8.26E+07,3.60E+10,10.384,17.4017,11.672,12.4133,11.0775,82,4.41884,18.5569
TP1,2006/3/25,0.44,-0.22,435.294,189481,8.25E+07,3.59E+10,10.336,16.6833,13.284,11.825,11.915,83,4.43082,18.7324
TP1,2006/3/26,0.52,-0.36,435.102,189314,8.24E+07,3.58E+10,10.288,15.965,14.896,11.2367,12.7525,84,4.44265,18.9076
TP1,2006/3/27,0.6,-0.5,434.91,189147,8.23E+07,3.58E+10,10.24,15.2467,16.508,10.6483,13.59,85,4.45435,19.0825
TP1,2006/3/28,0.6,-0.6,434.933,189166,8.23E+07,3.58E+10,11.0775,14.5283,18.12,10.06,13.0017,86,4.46591,19.257
TP1,2006/3/29,0.6,-0.7,434.955,189186,8.23E+07,3.58E+10,11.915,13.81,17.4017,11.672,12.4133,87,4.47734,19.4312
TP1,2006/3/30,0.6,-0.8,434.978,189205,8.23E+07,3.58E+10,12.7525,14.2425,16.6833,13.284,11.825,88,4.48864,19.6051
TP1,2006/3/31,0.6,-0.9,435,189225,8.23E+07,3.58E+10,13.59,14.675,15.965,14.896,11.2367,89,4.49981,19.7786
TP1,2006/4/1,0.583333,-0.766667,435.277,189466,8.25E+07,3.59E+10,13.0017,15.1075,15.2467,16.508,10.6483,90,4.51086,19.9519
TP1,2006/4/2,0.566667,-0.633333,435.553,189707,8.26E+07,3.60E+10,12.4133,15.54,14.5283,18.12,10.06,91,4.52179,20.1248
TP1,2006/4/3,0.55,-0.5,435.83,189948,8.28E+07,3.61E+10,11.825,15.46,13.81,17.4017,11.672,92,4.5326,20.2974
TP1,2006/4/4,0.533333,-0.366667,436.107,190189,8.29E+07,3.62E+10,11.2367,15.38,14.2425,16.6833,13.284,93,4.54329,20.4697
TP1,2006/4/5,0.516667,-0.233333,436.383,190430,8.31E+07,3.63E+10,10.6483,15.3,14.675,15.965,14.896,94,4.55388,20.6418
TP1,2006/4/6,0.5,-0.1,436.66,190672,8.33E+07,3.64E+10,10.06,15.22,15.1075,15.2467,16.508,95,4.56435,20.8135
TP1,2006/4/7,0.56,-0.04,437.286,191219,8.36E+07,3.66E+10,11.672,15.8833,15.54,14.5283,18.12,96,4.57471,20.9849
TP1,2006/4/8,0.62,0.02,437.912,191767,8.40E+07,3.68E+10,13.284,16.5467,15.46,13.81,17.4017,97,4.58497,21.1561
TP1,2006/4/9,0.68,0.08,438.538,192316,8.43E+07,3.70E+10,14.896,17.21,15.38,14.2425,16.6833,98,4.59512,21.327
TP1,2006/4/10,0.74,0.14,439.164,192865,8.47E+07,3.72E+10,16.508,17.8733,15.3,14.675,15.965,99,4.60517,21.4976
TP1,2006/4/11,0.8,0.2,439.79,193415,8.51E+07,3.74E+10,18.12,18.5367,15.22,15.1075,15.2467,100,4.61512,21.6679
TP1,2006/4/12,0.7,0.1,439.717,193351,8.50E+07,3.74E+10,17.4017,19.2,15.8833,15.54,14.5283,101,4.62497,21.838
TP1,2006/4/13,0.6,-2.78E-17,439.643,193286,8.50E+07,3.74E+10,16.6833,19.08,16.5467,15.46,13.81,102,4.63473,22.0078
TP1,2006/4/14,0.5,-0.1,439.57,193222,8.49E+07,3.73E+10,15.965,18.96,17.21,15.38,14.2425,103,4.64439,22.1773
TP1,2006/4/15,0.4,-0.2,439.497,193157,8.49E+07,3.73E+10,15.2467,18.84,17.8733,15.3,14.675,104,4.65396,22.3466
TP1,2006/4/16,0.3,-0.3,439.423,193093,8.48E+07,3.73E+10,14.5283,18.72,18.5367,15.22,15.1075,105,4.66344,22.5156
TP1,2006/4/17,0.2,-0.4,439.35,193028,8.48E+07,3.73E+10,13.81,18.6,19.2,15.8833,15.54,106,4.67283,22.6843
TP1,2006/4/18,0.2,-0.4,438.592,192363,8.44E+07,3.70E+10,14.2425,18.48,19.08,16.5467,15.46,107,4.68213,22.8528
TP1,2006/4/19,0.2,-0.4,437.835,191699,8.39E+07,3.67E+10,14.675,17.1917,18.96,17.21,15.38,108,4.69135,23.0211
TP1,2006/4/20,0.2,-0.4,437.077,191037,8.35E+07,3.65E+10,15.1075,15.9033,18.84,17.8733,15.3,109,4.70048,23.1891
TP1,2006/4/21,0.2,-0.4,436.32,190375,8.31E+07,3.62E+10,15.54,14.615,18.72,18.5367,15.22,110,4.70953,23.3569
TP1,2006/4/22,0.275,-0.25,436.202,190273,8.30E+07,3.62E+10,15.46,13.3267,18.6,19.2,15.8833,111,4.7185,23.5244
TP1,2006/4/23,0.35,-0.1,436.085,190170,8.29E+07,3.62E+10,15.38,12.0383,18.48,19.08,16.5467,112,4.72739,23.6917
TP1,2006/4/24,0.425,0.05,435.967,190068,8.29E+07,3.61E+10,15.3,10.75,17.1917,18.96,17.21,113,4.7362,23.8588
TP1,2006/4/25,0.5,0.2,435.85,189965,8.28E+07,3.61E+10,15.22,12.2225,15.9033,18.84,17.8733,114,4.74493,24.0256
TP1,2006/4/26,0.483333,0.133333,435.563,189715,8.26E+07,3.60E+10,15.8833,13.695,14.615,18.72,18.5367,115,4.75359,24.1922
TP1,2006/4/27,0.466667,0.0666667,435.277,189466,8.25E+07,3.59E+10,16.5467,15.1675,13.3267,18.6,19.2,116,4.76217,24.3586
TP1,2006/4/28,0.45,0,434.99,189216,8.23E+07,3.58E+10,17.21,16.64,12.0383,18.48,19.08,117,4.77068,24.5248
TP1,2006/4/29,0.433333,-0.0666667,434.703,188967,8.21E+07,3.57E+10,17.8733,17.025,10.75,17.1917,18.96,118,4.77912,24.6907
TP1,2006/4/30,0.416667,-0.133333,434.417,188718,8.20E+07,3.56E+10,18.5367,17.41,12.2225,15.9033,18.84,119,4.78749,24.8564
TP1,2006/5/1,0.4,-0.2,434.13,188469,8.18E+07,3.55E+10,19.2,17.795,13.695,14.615,18.72,120,4.79579,25.0219
TP1,2006/5/2,0.35,-0.166667,434.035,188386,8.18E+07,3.55E+10,19.08,18.18,15.1675,13.3267,18.6,121,4.80402,25.1872
TP1,2006/5/3,0.3,-0.133333,433.94,188304,8.17E+07,3.55E+10,18.96,18.565,16.64,12.0383,18.48,122,4.81218,25.3523
TP1,2006/5/4,0.25,-0.1,433.845,188221,8.17E+07,3.54E+10,18.84,18.95,17.025,10.75,17.1917,123,4.82028,25.5172
TP1,2006/5/5,0.2,-0.0666667,433.75,188139,8.16E+07,3.54E+10,18.72,19.2433,17.41,12.2225,15.9033,124,4.82831,25.6818
TP1,2006/5/6,0.15,-0.0333333,433.655,188057,8.16E+07,3.54E+10,18.6,19.5367,17.795,13.695,14.615,125,4.83628,25.8463
TP1,2006/5/7,0.1,0,433.56,187974,8.15E+07,3.53E+10,18.48,19.83,18.18,15.1675,13.3267,126,4.84419,26.0106
TP1,2006/5/8,0.116667,0.0333333,434.587,188866,8.21E+07,3.57E+10,17.1917,20.1233,18.565,16.64,12.0383,127,4.85203,26.1746
TP1,2006/5/9,0.133333,0.0666667,435.613,189759,8.27E+07,3.60E+10,15.9033,20.4167,18.95,17.025,10.75,128,4.85981,26.3385
TP1,2006/5/10,0.15,0.1,436.64,190654,8.32E+07,3.63E+10,14.615,20.71,19.2433,17.41,12.2225,129,4.86753,26.5021
TP1,2006/5/11,0.166667,0.133333,437.667,191552,8.38E+07,3.67E+10,13.3267,19.978,19.5367,17.795,13.695,130,4.8752,26.6656
TP1,2006/5/12,0.183333,0.166667,438.693,192452,8.44E+07,3.70E+10,12.0383,19.246,19.83,18.18,15.1675,131,4.8828,26.8289
TP1,2006/5/13,0.2,0.2,439.72,193354,8.50E+07,3.74E+10,10.75,18.514,20.1233,18.565,16.64,132,4.89035,26.9919
TP1,2006/5/14,0.35,0.1,439.777,193404,8.51E+07,3.74E+10,12.2225,17.782,20.4167,18.95,17.025,133,4.89784,27.1548
TP1,2006/5/15,0.5,0,439.835,193455,8.51E+07,3.74E+10,13.695,17.05,20.71,19.2433,17.41,134,4.90527,27.3175
TP1,2006/5/16,0.65,-0.1,439.892,193505,8.51E+07,3.74E+10,15.1675,17.966,19.978,19.5367,17.795,135,4.91265,27.48
TP1,2006/5/17,0.8,-0.2,439.95,193556,8.52E+07,3.75E+10,16.64,18.882,19.246,19.83,18.18,136,4.91998,27.6424
TP1,2006/5/18,0.85,-0.266667,439.392,193065,8.48E+07,3.73E+10,17.025,19.798,18.514,20.1233,18.565,137,4.92725,27.8045
TP1,2006/5/19,0.9,-0.333333,438.833,192575,8.45E+07,3.71E+10,17.41,20.714,17.782,20.4167,18.95,138,4.93447,27.9665
TP1,2006/5/20,0.95,-0.4,438.275,192085,8.42E+07,3.69E+10,17.795,21.63,17.05,20.71,19.2433,139,4.94164,28.1283
TP1,2006/5/21,1,-0.466667,437.717,191596,8.39E+07,3.67E+10,18.18,21.724,17.966,19.978,19.5367,140,4.94876,28.2899
TP1,2006/5/22,1.05,-0.533333,437.158,191107,8.35E+07,3.65E+10,18.565,21.818,18.882,19.246,19.83,141,4.95583,28.4514
TP1,2006/5/23,1.1,-0.6,436.6,190620,8.32E+07,3.63E+10,18.95,21.912,19.798,18.514,20.1233,142,4.96284,28.6126
TP1,2006/5/24,1.05,-0.466667,436.02,190113,8.29E+07,3.61E+10,19.2433,22.006,20.714,17.782,20.4167,143,4.96981,28.7737
TP1,2006/5/25,1,-0.333333,435.44,189608,8.26E+07,3.60E+10,19.5367,22.1,21.63,17.05,20.71,144,4.97673,28.9346
TP1,2006/5/26,0.95,-0.2,434.86,189103,8.22E+07,3.58E+10,19.83,22.665,21.724,17.966,19.978,145,4.98361,29.0954
TP1,2006/5/27,0.9,-0.0666667,434.28,188599,8.19E+07,3.56E+10,20.1233,23.23,21.818,18.882,19.246,146,4.99043,29.256
TP1,2006/5/28,0.85,0.0666667,433.7,188096,8.16E+07,3.54E+10,20.4167,23.795,21.912,19.798,18.514,147,4.99721,29.4164
TP1,2006/5/29,0.8,0.2,433.12,187593,8.13E+07,3.52E+10,20.71,24.36,22.006,20.714,17.782,148,5.00395,29.5767
TP1,2006/5/30,0.76,0.16,432.892,187395,8.11E+07,3.51E+10,19.978,24.925,22.1,21.63,17.05,149,5.01064,29.7367
TP1,2006/5/31,0.72,0.12,432.664,187198,8.10E+07,3.50E+10,19.246,25.49,22.665,21.724,17.966,150,5.01728,29.8967
TP1,2006/6/1,0.68,0.08,432.436,187001,8.09E+07,3.50E+10,18.514,25.3325,23.23,21.818,18.882,151,5.02388,30.0564
TP1,2006/6/2,0.64,0.04,432.208,186804,8.07E+07,3.49E+10,17.782,25.175,23.795,21.912,19.798,152,5.03044,30.2161
TP1,2006/6/3,0.6,0,431.98,186607,8.06E+07,3.48E+10,17.05,25.0175,24.36,22.006,20.714,153,5.03695,30.3755
TP1,2006/6/4,0.62,-0.08,431.738,186398,8.05E+07,3.47E+10,17.966,24.86,24.925,22.1,21.63,154,5.04343,30.5348
TP1,2006/6/5,0.64,-0.16,431.496,186189,8.03E+07,3.47E+10,18.882,24.065,25.49,22.665,21.724,155,5.04986,30.6939
TP1,2006/6/6,0.66,-0.24,431.254,185980,8.02E+07,3.46E+10,19.798,23.27,25.3325,23.23,21.818,156,5.05625,30.8529
TP1,2006/6/7,0.68,-0.32,431.012,185771,8.01E+07,3.45E+10,20.714,22.475,25.175,23.795,21.912,157,5.0626,31.0118
TP1,2006/6/8,0.7,-0.4,430.77,185563,7.99E+07,3.44E+10,21.63,21.68,25.0175,24.36,22.006,158,5.0689,31.1704
TP1,2006/6/9,0.66,-0.3,430.61,185425,7.98E+07,3.44E+10,21.724,22.7967,24.86,24.925,22.1,159,5.07517,31.329
TP1,2006/6/10,0.62,-0.2,430.45,185287,7.98E+07,3.43E+10,21.818,23.9133,24.065,25.49,22.665,160,5.0814,31.4874
TP1,2006/6/11,0.58,-0.1,430.29,185149,7.97E+07,3.43E+10,21.912,25.03,23.27,25.3325,23.23,161,5.0876,31.6456
TP1,2006/6/12,0.54,0,430.13,185012,7.96E+07,3.42E+10,22.006,26.1467,22.475,25.175,23.795,162,5.09375,31.8037
TP1,2006/6/13,0.5,0.1,429.97,184874,7.95E+07,3.42E+10,22.1,27.2633,21.68,25.0175,24.36,163,5.09987,31.9616
TP1,2006/6/14,0.566667,0.15,429.032,184068,7.90E+07,3.39E+10,22.665,28.38,22.7967,24.86,24.925,164,5.10595,32.1194
TP1,2006/6/15,0.633333,0.2,428.093,183264,7.85E+07,3.36E+10,23.23,27.815,23.9133,24.065,25.49,165,5.11199,32.2771
TP1,2006/6/16,0.7,0.25,427.155,182461,7.79E+07,3.33E+10,23.795,27.25,25.03,23.27,25.3325,166,5.11799,32.4346
TP1,2006/6/17,0.766667,0.3,426.217,181661,7.74E+07,3.30E+10,24.36,26.685,26.1467,22.475,25.175,167,5.12396,32.592
TP1,2006/6/18,0.833333,0.35,425.278,180862,7.69E+07,3.27E+10,24.925,26.12,27.2633,21.68,25.0175,168,5.1299,32.7492
TP1,2006/6/19,0.9,0.4,424.34,180064,7.64E+07,3.24E+10,25.49,25.555,28.38,22.7967,24.86,169,5.1358,32.9063
TP1,2006/6/20,0.95,0.175,424.317,180045,7.64E+07,3.24E+10,25.3325,24.99,27.815,23.9133,24.065,170,5.14166,33.0632
TP1,2006/6/21,1,-0.05,424.295,180026,7.64E+07,3.24E+10,25.175,25.315,27.25,25.03,23.27,171,5.14749,33.22
TP1,2006/6/22,1.05,-0.275,424.272,180007,7.64E+07,3.24E+10,25.0175,25.64,26.685,26.1467,22.475,172,5.15329,33.3767
TP1,2006/6/23,1.1,-0.5,424.25,179988,7.64E+07,3.24E+10,24.86,25.965,26.12,27.2633,21.68,173,5.15906,33.5333
TP1,2006/6/24,1.1,-0.45,424.475,180179,7.65E+07,3.25E+10,24.065,26.29,25.555,28.38,22.7967,174,5.16479,33.6897
TP1,2006/6/25,1.1,-0.4,424.7,180370,7.66E+07,3.25E+10,23.27,25.988,24.99,27.815,23.9133,175,5.17048,33.846
TP1,2006/6/26,1.1,-0.35,424.925,180561,7.67E+07,3.26E+10,22.475,25.686,25.315,27.25,25.03,176,5.17615,34.0021
TP1,2006/6/27,1.1,-0.3,425.15,180753,7.68E+07,3.27E+10,21.68,25.384,25.64,26.685,26.1467,177,5.18178,34.1581
TP1,2006/6/28,1.1,-0.383333,425.292,180873,7.69E+07,3.27E+10,22.7967,25.082,25.965,26.12,27.2633,178,5.18739,34.314
TP1,2006/6/29,1.1,-0.466667,425.433,180994,7.70E+07,3.28E+10,23.9133,24.78,26.29,25.555,28.38,179,5.19296,34.4698
TP1,2006/6/30,1.1,-0.55,425.575,181114,7.71E+07,3.28E+10,25.03,24.6386,25.988,24.99,27.815,180,5.1985,34.6254
TP1,2006/7/1,1.1,-0.633333,425.717,181235,7.72E+07,3.28E+10,26.1467,24.4971,25.686,25.315,27.25,181,5.20401,34.7809
TP1,2006/7/2,1.1,-0.716667,425.858,181355,7.72E+07,3.29E+10,27.2633,24.3557,25.384,25.64,26.685,182,5.20949,34.9363
TP1,2006/7/3,1.1,-0.8,426,181476,7.73E+07,3.29E+10,28.38,24.2143,25.082,25.965,26.12,183,5.21494,35.0915
TP1,2006/7/4,1.18333,-0.65,427.22,182517,7.80E+07,3.33E+10,27.815,24.0729,24.78,26.29,25.555,184,5.22036,35.2466
TP1,2006/7/5,1.26667,-0.5,428.44,183561,7.86E+07,3.37E+10,27.25,23.9314,24.6386,25.988,24.99,185,5.22575,35.4016
